	タイトル	2022-03-06	2022-03-07	2022-03-08	2022-03-10	2022-03-11	2022-03-12	2022-03-13	2022-03-14	2022-03-15	2022-03-16	2022-03-17	2022-03-18	2022-03-19	2022-03-20	2022-03-21	2022-03-22	2022-03-23	2022-03-24	2022-03-25	2022-03-26	2022-03-27	2022-03-28	2022-03-29	2022-03-30	2022-04-01	2022-04-02	2022-04-03	2022-04-04	2022-04-05	2022-04-06	2022-04-07	2022-04-08	2022-04-09	2022-04-10	2022-04-11	2022-04-12	2022-04-13	2022-04-14	2022-04-15	2022-04-16	2022-04-17	2022-04-18	2022-04-19	2022-04-20	2022-04-21	2022-04-22	2022-04-23	2022-04-24	2022-04-25	2022-04-26	2022-04-27	2022-04-28	2022-04-29	2022-04-30	2022-05-01	2022-05-02	2022-05-03	2022-05-04	2022-05-05	2022-05-06	2022-05-07	2022-05-08	2022-05-09	2022-05-10	2022-05-11	2022-05-12	2022-05-13	2022-05-14	2022-05-15	2022-05-16	2022-05-17	2022-05-18	2022-05-19	2022-05-20	2022-05-21	2022-05-22	2022-05-23	2022-05-24	2022-05-25	2022-05-26	2022-05-27	2022-05-28	2022-05-29	2022-05-30	2022-05-31	2022-06-01	2022-06-02	2022-06-03	2022-06-04	2022-06-05	2022-06-06	2022-06-07	2022-06-08	2022-06-09	2022-06-10	2022-06-11	2022-06-12	2022-06-13	2022-06-14	2022-06-15	2022-06-16	2022-06-17	2022-06-18	2022-06-19	2022-06-20	2022-06-21	2022-06-22	2022-06-23	2022-06-24	2022-06-25	2022-06-26	2022-06-27	2022-06-28	2022-06-29	2022-06-30	2022-07-01	2022-07-02	2022-07-03	2022-07-04	2022-07-05	2022-07-06	2022-07-07	2022-07-08	2022-07-09	2022-07-10	2022-07-11	2022-07-12	2022-07-13	2022-07-14	2022-07-15	2022-07-16	2022-07-17	2022-07-18	2022-07-19	2022-07-20	2022-07-21	2022-07-22	2022-07-23	2022-07-25	2022-07-26	2022-07-27	2022-07-28	2022-07-29	2022-07-30	2022-07-31	2022-08-01	2022-08-02	2022-08-03	2022-08-04	2022-08-05	2022-08-06	2022-08-07	2022-08-08	2022-08-09	2022-08-10	2022-08-11	2022-08-12	2022-08-13	2022-08-14	2022-08-15	2022-08-16	2022-08-17	2022-08-18	2022-08-19	2022-08-20	2022-08-21	2022-08-22	2022-08-23	2022-08-24	2022-08-25	2022-08-26	2022-08-27	2022-08-28	2022-08-29	2022-08-30	2022-08-31	2022-09-01	2022-09-02	2022-09-04	2022-09-05	2022-09-06	2022-09-07	2022-09-08	2022-09-09	2022-09-10	2022-09-11	2022-09-12	2022-09-13	2022-09-14	2022-09-15	2022-09-17	2022-09-18	2022-09-19	2022-09-20	2022-09-21	2022-09-22	2022-09-23	2022-09-24	2022-09-25	2022-09-26	2022-09-27	2022-09-28	2022-09-29	2022-09-30	2022-10-01	2022-10-02	2022-10-03	2022-10-04	2022-10-05	2022-10-06	2022-10-07	2022-10-08	2022-10-09	2022-10-10	2022-10-11	2022-10-12	2022-10-13	2022-10-14	2022-10-15	2022-10-16	2022-10-17	2022-10-18	2022-10-19	2022-10-20	2022-10-21	2022-10-22	2022-10-23	2022-10-24	2022-10-25	2022-10-26	2022-10-27	2022-10-28	2022-10-29	2022-10-30	2022-10-31	2022-11-01	2022-11-02	2022-11-03	2022-11-04	2022-11-05	2022-11-06	2022-11-08	2022-11-09	2022-11-11	2022-11-12	2022-11-13	2022-11-14	2022-11-15	2022-11-16	2022-11-17	2022-11-18	2022-11-19	2022-11-20	2022-11-21	2022-11-22	2022-11-23	2022-11-24	2022-11-25	2022-11-26	2022-11-27	2022-11-28	2022-11-29	2022-11-30	2022-12-01	2022-12-02	2022-12-03	2022-12-04	2022-12-05	2022-12-06	2022-12-07	2022-12-08	2022-12-09	2022-12-10	2022-12-11	2022-12-12	2022-12-13	2022-12-14	2022-12-15	2022-12-16	2022-12-17	2022-12-18	2022-12-19	2022-12-20	2022-12-21	2022-12-22	2022-12-23	2022-12-24	2022-12-25	2022-12-26	2022-12-27	2022-12-28	2022-12-29	2022-12-30	2022-12-31	2023-01-01	2023-01-02	2023-01-03	2023-01-04	2023-01-05	2023-01-06	2023-01-07	2023-01-08	2023-01-09	2023-01-12	2023-01-13	2023-01-14	2023-01-15	2023-01-16	2023-01-17	2023-01-18	2023-01-19	2023-01-20	2023-01-21	2023-01-22	2023-01-23	2023-01-24	2023-01-25	2023-01-26	2023-01-27	2023-01-28	2023-01-29	2023-01-30	2023-01-31	2023-02-01	2023-02-02	2023-02-03	2023-02-04	2023-02-05	2023-02-06	2023-02-07	2023-02-08	2023-02-09	2023-02-10	2023-02-11	2023-02-12	2023-02-14	2023-02-15	2023-02-16	2023-02-17	2023-02-18	2023-02-19	2023-02-20
https://youtu.be/Hazy5SvwYSA	Bitter & Sweet『幸せになりたい。』	165625	165643	165668	165721	165741	165759	165779	165794	165819	165829	165845	165859	165880	165917	165949	165971	166004	166026	166049	166075	166119	166150	166169	166197	166244	166272	166300	166319	166344	166368	166401	166421	166448	166472	166503	166533	166570	166599	166632	166675	166705	166752	166783	166812	166839	166883	166909	166929	166967	166996	167031	167059	167095	167141	167171	167196	167229	167259	167282	167305	167332	167352	167376	167384	167402	167416	167441	167460	167468	167483	167495	167512	167528	167537	167558	167571	167598	167615	167632	167654	167670	167684	167699	167715	167728	167736	167746	167757	167766	167775	167788	167800	167819	167829	167847	167870	167892	167905	167920	167935	167948	167970	167981	168003	168019	168030	168043	168066	168080	168100	168122	168141	168158	168168	168189	168197	168223	168236	168250	168262	168274	168285	168293	168307	168317	168333	168359	168367	168386	168398	168410	168420	168431	168446	168453	168465	168471	168476	168496	168502	168506	168513	168518	168535	168553	168561	168572	168578	168588	168605	168618	168629	168644	168651	168662	168669	168677	168681	168689	168698	168716	168729	168739	168748	168763	168769	168778	168789	168808	168815	168825	168836	168846	168855	168867	168880	168896	168906	168940	168960	168973	168987	169000	169007	169022	169032	169048	169057	169067	169077	169099	169118	169133	169144	169156	169166	169175	169190	169202	169216	169226	169233	169243	169254	169273	169287	169297	169309	169316	169321	169330	169340	169350	169354	169365	169372	169379	169385	169394	169398	169402	169409	169421	169426	169434	169438	169444	169449	169458	169470	169483	169494	169506	169516	169525	169528	169534	169547	169555	169561	169578	169597	169608	169629	169639	169645	169652	169659	169671	169680	169688	169695	169707	169713	169727	169738	169747	169751	169768	169787	169797	169804	169816	169824	169832	169845	169850	169857	169865	169868	169877	169879	169882	169892	169899	169909	169918	169927	169934	169945	169957	169966	169969	169975	169981	169992	170003	170015	170023	170036	170048	170061	170071	170082	170090	170098	170102	170112	170123	170131	170144	170149	170158	170181	170186	170188	170194	170200	170207	170215	170223	170234	170239	170251	170260	170272	170279	170288	170295	170301	170306	170315	170322	170331	170334	170336	170341	170351	170354	170360	170368	170376	170387	170392	170395	170406	170417	170424	170433	170441	170450	170461
https://youtu.be/wXcT5g4LsRY	SOMETHING - The Beatles | BASS COVER WITH TABS | Höfner 500/1 CT |	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151646	151712	151758	151802	151888	151957	152012	152047	152095	152126	152175	152229	152293	152351	152405	152450	152563	152634	152694	152749	152820	152888	152926	152990	153065	153115	153171	153245	153293	153355	153424	153478	153521	153579	153639	153690	153762	153841	153906	153968	154034	154080	154138	154215	154296	154357	154405	154480	154542	154596	154663	154713	154789	154864	154937	154994	155076	155152	155216	155272	155336	155385	155450	155515	155578	155623	155688	155800	155864	155988	156096	156177	156247	156316	156394	156478	156530	156597	156673	156729	156781	156837	156896	156934	156981	157037	157078	157125	157162	157226	157269	157309	157371	157439	157491	157535	157576	157632	157680	157743	157802	157843	157884	157941	157994	158038	158087	158132	158184	158223	158253	158316	158356	158398	158441	158479	158525	158584	158644	158711	158775	158818	158859	158919	158971	159032	159083	159142	159192	159342	159395	159436	159495	159539	159607	159658	159707	159759	159825	159868	159937	159973	160031	160096	160165	160229	160291	160352	160416	160472	160516	160570	160621	160671	160724	160783	160853	160902	160951	161024	161086	161169	161223	161288	161367	161424	161471	161519
https://youtu.be/BkvZWnWz2ZI	Bitter & Sweet「誰にもナイショ」A Secret From Everyone 	99360	99372	99387	99417	99428	99443	99453	99462	99469	99480	99490	99504	99517	99546	99559	99576	99597	99612	99622	99644	99665	99682	99694	99714	99743	99766	99780	99812	99853	99890	99930	99962	99987	100036	100055	100084	100115	100161	100186	100211	100230	100256	100270	100282	100295	100316	100339	100358	100375	100388	100412	100429	100442	100455	100469	100481	100497	100509	100524	100535	100562	100577	100589	100595	100606	100619	100630	100641	100653	100665	100676	100690	100696	100705	100716	100729	100740	100757	100766	100780	100800	100816	100821	100826	100831	100838	100842	100843	100854	100860	100869	100874	100879	100886	100897	100917	100944	100974	100994	101007	101017	101029	101037	101054	101062	101067	101077	101083	101089	101099	101112	101118	101127	101137	101141	101149	101156	101158	101168	101172	101183	101184	101189	101197	101204	101211	101227	101233	101236	101240	101245	101256	101264	101271	101274	101278	101287	101288	101295	101299	101303	101307	101311	101320	101325	101330	101336	101339	101348	101361	101369	101373	101380	101382	101384	101389	101399	101404	101407	101414	101419	101427	101435	101439	101446	101451	101455	101459	101467	101471	101474	101480	101486	101494	101504	101508	101510	101514	101532	101541	101555	101563	101572	101578	101589	101595	101602	101607	101612	101618	101634	101640	101645	101651	101656	101660	101671	101680	101685	101691	101702	101709	101719	101723	101729	101733	101746	101752	101762	101765	101768	101775	101784	101787	101792	101797	101805	101808	101810	101813	101816	101819	101827	101834	101841	101842	101846	101852	101854	101857	101862	101864	101868	101876	101883	101887	101891	101902	101907	101910	101918	101928	101934	101948	101951	101957	101958	101964	101972	101977	101981	101988	101992	101999	102004	102011	102016	102026	102031	102038	102041	102047	102053	102059	102064	102068	102077	102085	102088	102095	102100	102107	102113	102123	102127	102130	102134	102140	102144	102151	102159	102168	102172	102175	102181	102187	102194	102199	102206	102212	102217	102225	102231	102237	102243	102248	102250	102256	102261	102267	102274	102278	102284	102297	102306	102312	102321	102326	102328	102336	102341	102347	102349	102361	102363	102371	102376	102384	102391	102396	102404	102411	102418	102426	102427	102439	102445	102453	102457	102461	102468	102474	102484	102493	102504	102514	102517	102517	102523	102529	102535	102544
https://youtu.be/2m4rWUtqXk4	Bitter & Sweet「恋愛WARS」 	94571	94582	94607	94655	94676	94694	94709	94724	94737	94743	94756	94769	94791	94829	94867	94885	94923	94942	94956	94978	95007	95028	95037	95065	95100	95122	95141	95157	95181	95211	95229	95255	95287	95317	95349	95379	95409	95439	95484	95513	95535	95575	95614	95642	95665	95702	95726	95759	95797	95824	95862	95889	95935	95963	95982	96005	96031	96052	96067	96083	96094	96111	96126	96140	96153	96169	96182	96197	96214	96231	96243	96261	96276	96283	96296	96312	96331	96346	96356	96374	96387	96400	96412	96425	96435	96439	96447	96456	96472	96488	96498	96509	96517	96532	96543	96562	96580	96595	96604	96615	96623	96637	96645	96666	96680	96692	96701	96712	96723	96739	96755	96764	96774	96784	96797	96800	96812	96818	96826	96837	96847	96855	96865	96869	96880	96886	96903	96905	96912	96917	96922	96926	96935	96942	96949	96957	96969	96976	96990	96996	97004	97011	97017	97029	97037	97044	97051	97056	97061	97076	97090	97098	97111	97113	97121	97124	97131	97135	97143	97157	97167	97175	97180	97191	97205	97219	97225	97232	97241	97245	97252	97265	97280	97299	97315	97322	97330	97340	97370	97393	97409	97415	97424	97431	97443	97453	97466	97476	97493	97507	97526	97545	97560	97571	97579	97588	97605	97619	97631	97639	97642	97651	97662	97669	97683	97695	97705	97712	97721	97728	97735	97749	97761	97767	97778	97793	97800	97806	97811	97816	97822	97831	97839	97845	97852	97855	97870	97876	97882	97896	97907	97913	97918	97927	97932	97940	97947	97959	97970	97978	97985	98008	98020	98041	98052	98057	98067	98071	98081	98088	98097	98108	98117	98127	98139	98151	98160	98162	98168	98175	98184	98189	98191	98201	98208	98218	98223	98235	98239	98247	98258	98264	98267	98277	98282	98293	98299	98306	98309	98315	98324	98333	98339	98346	98351	98363	98371	98373	98378	98389	98398	98411	98422	98429	98436	98441	98452	98457	98466	98472	98484	98487	98493	98504	98510	98520	98528	98536	98545	98552	98558	98561	98563	98573	98578	98588	98596	98602	98610	98616	98622	98630	98641	98651	98657	98664	98669	98674	98682	98690	98697	98706	98713	98719	98723	98733	98735	98741	98744	98751	98758	98766
https://youtu.be/wlxwX-cFBAM	Bitter & Sweet 「月蝕」[Lunar Eclipse] 	85070	85084	85107	85145	85169	85207	85240	85276	85308	85325	85355	85378	85396	85489	85559	85634	85713	85755	85797	85839	85886	85930	85965	86002	86064	86095	86125	86161	86197	86231	86270	86295	86328	86357	86390	86434	86480	86519	86572	86618	86642	86685	86718	86743	86766	86804	86833	86861	86903	86939	86980	87007	87040	87092	87131	87162	87200	87227	87254	87275	87309	87341	87380	87406	87428	87453	87477	87500	87526	87547	87570	87597	87627	87656	87685	87703	87738	87751	87770	87784	87813	87833	87855	87876	87899	87915	87933	87950	87970	87991	88006	88031	88050	88071	88101	88143	88187	88228	88248	88277	88300	88325	88343	88365	88387	88407	88422	88440	88469	88504	88538	88557	88581	88602	88621	88636	88674	88691	88713	88735	88763	88775	88789	88806	88832	88850	88871	88891	88908	88924	88944	88964	88981	89002	89018	89036	89060	89081	89119	89131	89141	89156	89183	89217	89240	89255	89273	89287	89302	89319	89338	89346	89363	89372	89382	89392	89414	89426	89441	89454	89474	89485	89497	89511	89520	89534	89543	89560	89575	89585	89595	89612	89620	89632	89639	89652	89667	89676	89718	89749	89768	89785	89808	89820	89838	89858	89879	89893	89915	89935	89974	89992	90026	90042	90062	90075	90100	90118	90138	90151	90164	90179	90196	90206	90221	90238	90265	90282	90294	90314	90327	90339	90358	90366	90381	90392	90409	90422	90432	90437	90452	90464	90479	90493	90507	90518	90532	90543	90550	90556	90559	90571	90580	90593	90610	90621	90635	90652	90668	90678	90687	90721	90845	90907	90927	90940	90946	90962	90980	91001	91018	91031	91047	91073	91100	91120	91136	91145	91155	91178	91186	91194	91204	91216	91230	91237	91247	91263	91279	91292	91301	91307	91316	91333	91347	91365	91377	91391	91401	91415	91424	91437	91445	91460	91472	91486	91502	91515	91529	91537	91548	91558	91570	91582	91626	91637	91648	91668	91681	91696	91717	91737	91749	91778	91789	91799	91817	91833	91847	91859	91866	91880	91887	91903	91908	91922	91928	91939	91949	91969	91980	91994	92007	92022	92032	92047	92062	92073	92083	92100	92115	92128	92140	92152	92162	92192	92210	92222	92237	92252	92268	92282
https://youtu.be/BPZhubKJgWc	Bitter & Sweet「恋心」	77959	77968	77983	78015	78031	78051	78069	78083	78109	78121	78139	78160	78176	78241	78282	78322	78369	78390	78409	78434	78481	78511	78526	78550	78586	78605	78627	78647	78664	78686	78712	78730	78751	78767	78789	78816	78844	78860	78883	78908	78933	78960	78984	79007	79018	79044	79065	79096	79131	79159	79192	79218	79247	79272	79301	79326	79349	79365	79382	79400	79415	79435	79456	79469	79481	79497	79519	79536	79548	79564	79575	79586	79595	79609	79618	79626	79645	79656	79670	79683	79696	79706	79719	79728	79732	79738	79749	79755	79762	79774	79779	79792	79798	79807	79827	79849	79877	79892	79901	79923	79941	79957	79965	79976	79990	80003	80016	80025	80037	80043	80063	80072	80083	80094	80110	80123	80140	80150	80159	80164	80178	80193	80197	80204	80214	80227	80243	80251	80260	80270	80276	80291	80297	80307	80316	80334	80345	80356	80380	80392	80399	80403	80408	80418	80433	80436	80441	80448	80458	80474	80485	80494	80506	80510	80519	80523	80529	80533	80543	80558	80567	80572	80579	80585	80594	80601	80611	80620	80626	80633	80642	80653	80665	80669	80678	80693	80707	80718	80745	80755	80772	80784	80794	80804	80813	80825	80834	80842	80851	80861	80881	80896	80905	80914	80929	80941	80951	80959	80967	80979	80982	80997	81012	81018	81032	81043	81059	81077	81098	81114	81121	81132	81143	81148	81155	81161	81169	81177	81193	81204	81209	81221	81229	81236	81247	81257	81266	81276	81279	81290	81299	81310	81318	81330	81342	81347	81358	81377	81390	81397	81409	81436	81444	81464	81471	81484	81490	81499	81507	81513	81530	81538	81550	81564	81575	81583	81591	81598	81607	81614	81619	81629	81636	81649	81656	81661	81667	81674	81682	81692	81699	81705	81707	81718	81730	81739	81747	81757	81766	81773	81778	81788	81788	81794	81800	81805	81812	81822	81830	81838	81844	81851	81857	81864	81872	81883	81890	81898	81904	81913	81924	81931	81937	81958	81964	81970	81981	81994	82010	82026	82038	82046	82057	82063	82072	82079	82089	82093	82102	82109	82119	82129	82137	82152	82163	82171	82179	82191	82199	82204	82213	82221	82229	82243	82251	82272	82282	82294	82298	82304	82316	82328
https://youtu.be/gDzvZ9S1nDc	Bitter & Sweet『遠いところへ行くのでしょう』	71674	71691	71714	71751	71773	71793	71814	71833	71845	71853	71870	71877	71889	71928	71951	71970	71998	72015	72039	72059	72090	72112	72128	72150	72182	72204	72223	72240	72268	72288	72312	72334	72360	72383	72418	72460	72485	72500	72520	72556	72581	72617	72661	72678	72691	72723	72746	72780	72799	72827	72864	72891	72924	72957	72985	73011	73047	73064	73081	73102	73124	73139	73163	73180	73194	73210	73231	73241	73249	73272	73284	73302	73317	73326	73343	73365	73373	73390	73405	73422	73433	73445	73458	73470	73485	73500	73511	73524	73534	73547	73561	73571	73585	73600	73617	73647	73672	73687	73703	73720	73725	73740	73749	73759	73780	73791	73807	73822	73838	73843	73853	73861	73871	73879	73899	73905	73914	73927	73937	73943	73950	73957	73967	73972	73981	73992	74010	74023	74039	74045	74051	74061	74066	74085	74092	74103	74107	74111	74127	74134	74145	74148	74155	74165	74178	74186	74197	74205	74210	74225	74235	74247	74261	74267	74271	74276	74282	74287	74296	74309	74320	74330	74338	74348	74357	74371	74379	74384	74395	74405	74409	74419	74426	74435	74441	74447	74456	74462	74489	74502	74512	74526	74540	74547	74557	74566	74580	74592	74606	74618	74634	74646	74657	74663	74668	74675	74686	74692	74706	74715	74718	74725	74735	74746	74751	74765	74773	74782	74792	74798	74808	74822	74828	74839	74852	74865	74873	74885	74898	74906	74912	74918	74929	74936	74941	74950	74962	74972	74980	74989	74994	74996	75008	75016	75026	75030	75040	75058	75064	75071	75084	75107	75121	75147	75155	75170	75188	75199	75209	75224	75229	75235	75249	75260	75286	75304	75320	75337	75348	75359	75368	75377	75386	75398	75407	75415	75423	75434	75437	75449	75459	75464	75468	75478	75491	75501	75511	75520	75529	75537	75543	75558	75566	75577	75587	75594	75604	75615	75625	75635	75640	75650	75659	75668	75672	75679	75687	75697	75710	75722	75729	75745	75753	75777	75794	75806	75821	75833	75845	75854	75860	75871	75878	75892	75903	75915	75932	75949	75958	75969	75984	75997	76016	76028	76037	76047	76057	76071	76076	76086	76098	76116	76128	76139	76149	76164	76177	76185	76196	76204	76210	76219
https://youtu.be/rxyOXqjG_IQ	Bitter & Sweet 『Bitter & Sweet』 	68337	68346	68364	68382	68389	68401	68413	68422	68428	68431	68439	68448	68469	68498	68518	68531	68556	68575	68598	68621	68646	68662	68676	68705	68744	68763	68787	68807	68816	68830	68841	68857	68874	68898	68918	68931	68954	68978	68997	69013	69027	69046	69062	69077	69094	69114	69133	69154	69173	69185	69206	69225	69237	69252	69266	69275	69295	69301	69313	69326	69338	69352	69365	69379	69390	69401	69412	69424	69431	69443	69454	69463	69466	69472	69483	69495	69507	69513	69515	69519	69524	69535	69540	69551	69563	69571	69581	69587	69595	69599	69605	69612	69619	69627	69636	69654	69659	69668	69673	69683	69691	69697	69700	69709	69717	69721	69725	69731	69740	69747	69753	69758	69762	69765	69768	69771	69775	69781	69787	69794	69803	69804	69811	69815	69823	69831	69841	69844	69849	69852	69858	69866	69872	69880	69883	69885	69891	69897	69905	69911	69913	69916	69920	69932	69937	69943	69953	69958	69962	69974	69983	69989	69993	69998	70003	70007	70011	70012	70015	70023	70028	70031	70035	70039	70042	70051	70054	70057	70061	70064	70069	70073	70077	70082	70092	70100	70108	70117	70138	70150	70164	70173	70188	70191	70193	70197	70207	70212	70216	70221	70234	70240	70248	70259	70262	70271	70278	70289	70300	70306	70318	70327	70338	70341	70348	70360	70371	70377	70385	70388	70396	70399	70407	70411	70417	70424	70428	70434	70438	70446	70454	70462	70468	70476	70479	70485	70492	70500	70504	70509	70515	70524	70534	70542	70548	70552	70558	70561	70571	70575	70581	70598	70604	70615	70627	70634	70643	70653	70664	70671	70682	70685	70692	70697	70700	70702	70707	70709	70711	70718	70721	70726	70731	70734	70737	70741	70748	70755	70758	70763	70773	70776	70780	70784	70788	70790	70797	70801	70804	70807	70810	70818	70822	70825	70830	70835	70842	70847	70854	70861	70866	70874	70879	70887	70889	70896	70902	70912	70917	70924	70934	70945	70950	70972	70977	70983	70988	70993	70998	71000	71004	71016	71022	71027	71038	71046	71049	71056	71064	71072	71078	71085	71095	71104	71106	71110	71115	71120	71121	71123	71130	71133	71137	71140	71145	71149	71153	71158	71162	71165	71171	71178
https://youtu.be/esWz02l_38w	Bitter & Sweet 『インストール』 	67459	67469	67484	67515	67528	67543	67554	67570	67578	67589	67604	67617	67635	67683	67709	67742	67775	67793	67824	67852	67880	67899	67917	67943	67969	67984	68006	68023	68036	68059	68086	68098	68118	68136	68167	68182	68199	68217	68231	68246	68265	68282	68301	68315	68327	68339	68364	68385	68406	68425	68436	68448	68468	68494	68506	68520	68539	68550	68563	68569	68576	68585	68597	68605	68615	68623	68630	68642	68654	68661	68670	68681	68686	68696	68706	68714	68728	68741	68746	68756	68763	68775	68785	68795	68807	68816	68826	68830	68839	68845	68860	68872	68882	68889	68898	68917	68944	68958	68968	68984	68993	69007	69013	69027	69032	69042	69048	69057	69066	69076	69092	69098	69103	69116	69118	69125	69134	69140	69146	69151	69162	69167	69170	69174	69182	69190	69202	69207	69211	69218	69224	69230	69233	69240	69242	69244	69249	69252	69266	69269	69277	69280	69286	69293	69297	69308	69313	69315	69323	69341	69349	69356	69368	69373	69378	69378	69388	69391	69396	69403	69414	69419	69423	69429	69434	69442	69445	69450	69458	69461	69464	69470	69476	69481	69487	69493	69498	69502	69517	69524	69536	69537	69551	69557	69565	69571	69580	69585	69592	69597	69610	69617	69628	69634	69636	69641	69648	69659	69668	69672	69680	69684	69694	69698	69707	69716	69728	69736	69749	69752	69758	69763	69771	69781	69786	69791	69795	69799	69805	69809	69813	69815	69821	69825	69834	69844	69864	69870	69875	69883	69889	69892	69896	69904	69909	69918	69920	69925	69930	69932	69937	69946	69952	69974	69979	69985	69990	69998	70005	70008	70016	70018	70023	70025	70028	70033	70039	70041	70044	70049	70055	70056	70059	70063	70067	70068	70073	70080	70087	70091	70097	70100	70106	70110	70113	70121	70125	70132	70137	70144	70148	70153	70158	70161	70167	70177	70181	70183	70187	70190	70194	70199	70202	70208	70213	70218	70227	70235	70240	70248	70257	70259	70262	70271	70273	70276	70285	70288	70290	70296	70299	70303	70307	70312	70316	70321	70323	70328	70330	70334	70337	70342	70350	70354	70356	70357	70357	70360	70361	70362	70365	70369	70379	70381	70388	70397	70403	70404	70406	70410	70417	70421
https://youtu.be/nywHwXGJL10	Bitter & Sweet『ラブストーリーは始まらない 』	1942	2151	2533	3000	3135	3299	3501	3688	3828	3968	4098	4213	4360	4713	5014	5261	5542	5739	5926	6087	6298	6461	6597	6744	6985	7174	7390	7519	7709	7934	8238	8441	8647	9002	9447	9965	10519	11214	11925	12698	13330	13867	14371	14787	15278	15823	16317	17169	17982	18778	19641	20553	21373	22308	23048	23664	24284	24810	25330	25754	26244	26693	27123	27515	27950	28328	28732	29129	29541	29957	30323	30649	31021	31340	31734	32093	32407	32716	33032	33287	33569	33814	34104	34353	34592	34784	35004	35210	35413	35697	35926	36130	36321	36644	36959	37353	37715	38018	38282	38514	38735	38965	39177	39398	39616	39781	40010	40239	40453	40665	40877	41055	41240	41397	41570	41739	41898	42072	42235	42367	42531	42669	42786	42929	43054	43194	43330	43474	43609	43734	43859	43969	44084	44218	44330	44479	44615	44755	45007	45141	45264	45350	45476	45615	45744	45858	45961	46106	46229	46340	46440	46549	46666	46775	46865	46955	47063	47183	47320	47454	47569	47677	47771	47885	48034	48166	48269	48368	48500	48610	48722	48827	48955	49050	49145	49252	49384	49476	49744	49882	50009	50102	50203	50297	50420	50538	50626	50721	50826	50928	51117	51221	51325	51412	51524	51604	51697	51800	51903	52019	52113	52241	52363	52453	52549	52649	52774	52867	52972	53080	53180	53302	53392	53498	53605	53692	53796	53900	53973	54061	54133	54217	54323	54462	54575	54668	54778	54902	55005	55121	55219	55296	55373	55443	55520	55569	55644	55707	55777	55851	55916	56086	56176	56402	56484	56568	56666	56748	56843	56938	57029	57104	57211	57308	57383	57461	57524	57587	57655	57736	57807	57866	57934	57996	58048	58107	58175	58244	58316	58384	58453	58521	58599	58674	58733	58804	58873	58930	58980	59048	59106	59150	59198	59247	59290	59348	59395	59442	59492	59564	59652	59729	59790	59852	59915	59963	60018	60070	60116	60164	60200	60266	60309	60477	60540	60588	60643	60698	60768	60822	60853	60925	61002	61074	61151	61211	61286	61348	61407	61462	61524	61585	61632	61707	61769	61824	61879	61969	62015	62076	62149	62221	62291	62356	62418	62528	62585	62634	62673	62727	62787	62850
