index	タイトル	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20	2023-09-21	2023-09-22	2023-09-23	2023-09-24	2023-09-25	2023-09-26	2023-09-27	2023-09-28	2023-09-29	2023-09-30	2023-10-01	2023-10-02	2023-10-03	2023-10-04	2023-10-05	2023-10-06	2023-10-07	2023-10-08	2023-10-09	2023-10-10	2023-10-11	2023-10-12	2023-10-13	2023-10-14	2023-10-15	2023-10-16	2023-10-17	2023-10-18	2023-10-19	2023-10-20	2023-10-21	2023-10-22	2023-10-23	2023-10-24	2023-10-25	2023-10-26	2023-10-27	2023-10-28	2023-10-29	2023-10-30	2023-10-31	2023-11-01	2023-11-02	2023-11-03	2023-11-04	2023-11-05	2023-11-06	2023-11-07	2023-11-08	2023-11-09	2023-11-10	2023-11-11	2023-11-12	2023-11-13	2023-11-14	2023-11-15	2023-11-16	2023-11-17	2023-11-18	2023-11-19	2023-11-20	2023-11-21	2023-11-22	2023-11-23	2023-11-24	2023-11-25	2023-11-26	2023-11-27	2023-11-28	2023-11-29	2023-11-30	2023-12-01	2023-12-02	2023-12-03	2023-12-04	2023-12-05	2023-12-06	2023-12-07	2023-12-08	2023-12-09	2023-12-10	2023-12-11	2023-12-12	2023-12-13	2023-12-14	2023-12-15	2023-12-16
https://youtu.be/D8ZnOe-KDzo	高橋愛・田中れいな・夏焼雅『誤爆~We Can't Go Back~』 	217991	218064	218085	218136	218184	218222	218257	218292	218330	218370	218403	218437	218474	218532	218577	218615	218669	218706	218737	218769	218814	218849	218914	218965	219007	219052	219109	219166	219210	219240	219275	219316	219359	219407	219445	219474	219508	219541	219575	219606	219644	219676	219713	219742	219774	219802	219830	219861	219886	219923	219964	219989	220018	220052	220073	220116	220146	220177	220204	220236	220259	220284	220315	220353	220382	220408	220436	220462	220494	220530	220563	220600	220620	220653	220686	220709	220744	220777	220812	220836	220864	220885	220911	220946	220969	220986	221008	221054	221095	221129	221162	221190	221214	221243	221275	221305	221339	221368	221406	221437	221465	221484	221512	221531	221552	221582	221612	221635	221667	221683	221705	221736	221763	221789	221821	221837	221865	221888
https://youtu.be/LpFTzsG23Pw	真夜中のドア〜stay with	230710	230775	230793	230820	230858	230892	230917	230946	230969	231010	231045	231102	231146	231179	231232	231268	231314	231352	231394	231429	231466	231517	231559	231591	231625	231663	231696	231748	231793	231839	231889	231929	231956	231991	232051	232084	232122	232154	232209	232279	232328	232394	232438	232469	232525	232572	232627	232679	232719	232777	232837	232898	232935	232968	233006	233047	233087	233142	233184	233224	233261	233294	233327	233367	233404	233449	233483	233516	233567	233639	233711	233771	233816	233873	233915	233979	234029	234085	234129	234183	234225	234261	234301	234355	234404	234445	234519	234592	234653	234733	234805	234872	234914	234966	235007	235065	235126	235193	235263	235302	235351	235385	235437	235489	235542	235589	235639	235713	235786	235847	235912	235972	236025	236081	236123	236165	236196	236238
https://youtu.be/oxu3ArQ7a0c	佐藤優樹『ロマンティックなんてガラじゃない』 	411503	412596	412825	413256	413940	414565	415287	415849	416362	417011	417651	418347	419102	419860	420593	421448	422322	423053	423748	424410	425124	425774	426521	427229	427873	428506	429136	429727	430263	430939	431498	432112	432676	433311	433907	434434	434974	435575	436224	436811	437379	438016	438517	439086	439779	440408	440981	441568	442174	442809	443366	443893	444342	444786	445295	445786	446284	446760	447292	447735	448174	448678	449164	449685	450218	450649	451075	451467	451902	452388	452808	453309	453699	454092	454545	454981	455470	455991	456489	456949	457350	457729	458162	458665	459105	459605	460034	460463	460823	461299	461742	462163	462571	462932	463347	463816	464213	464574	464954	465348	465765	466097	466476	466836	467154	467599	467976	468392	468860	469351	469956	470400	470683	471159	471616	472124	472526	473039
https://youtu.be/2CRdMwHZxIQ	COVERS -One	607519	607785	607857	608044	608219	608414	608640	608837	609008	609194	609374	609562	609743	609941	610147	610412	610619	610844	611074	611296	611487	611690	611892	612088	612307	612508	612724	612928	613120	613349	613544	613725	613901	614092	614359	614559	614715	614916	615105	615334	615595	615918	616202	616459	616706	616913	617166	617438	617712	617938	618216	618535	618750	618987	619221	619445	619662	619877	620081	620301	620516	620727	620929	621143	621370	621542	621720	621887	622072	622264	622425	622590	622766	622916	623112	623303	623465	623620	623781	623959	624127	624308	624461	624629	624809	624991	625188	625376	625514	625704	625885	626062	626242	626421	626594	626761	626944	627134	627339	627536	627720	627896	628064	628248	628419	628571	628758	628940	629124	629295	629479	629625	629779	629918	630068	630251	630413	630598
https://youtu.be/CSflF7iuytY	小片リサ「愛が止まらない~Turn	185942	186083	186124	186202	186271	186360	186454	186543	186627	186713	186803	186863	186968	187080	187174	187269	187367	187478	187577	187687	187814	187936	188045	188168	188306	188406	188502	188630	188778	188900	189025	189148	189266	189398	189558	189650	189739	189838	189960	190072	190214	190391	190516	190593	190710	190852	190988	191149	191286	191402	191511	191603	191695	191778	191878	191985	192089	192204	192298	192406	192500	192591	192686	192777	192889	192970	193070	193150	193275	193439	193582	193689	193778	193891	193985	194095	194191	194278	194378	194476	194585	194682	194788	194883	194998	195088	195178	195271	195354	195467	195593	195702	195805	195909	195999	196130	196238	196385	196503	196601	196702	196784	196897	196994	197109	197205	197318	197433	197520	197612	197715	197822	197957	198039	198149	198236	198331	198428
https://youtu.be/2YsBkJdUaK0	小片リサ「歌うたいのバラッド」歌唱動画-	61629	61655	61662	61674	61683	61691	61701	61705	61712	61725	61742	61758	61779	61792	61813	61821	61827	61836	61854	61861	61876	61892	61914	61934	61951	61958	61974	61996	62017	62023	62037	62052	62061	62084	62096	62113	62126	62147	62162	62185	62198	62212	62214	62224	62222	62235	62245	62260	62269	62277	62300	62295	62317	62326	62340	62355	62367	62378	62378	62387	62397	62408	62433	62448	62462	62479	62494	62499	62530	62552	62574	62595	62604	62625	62650	62663	62683	62694	62711	62717	62734	62757	62780	62804	62827	62839	62852	62862	62871	62890	62905	62926	62949	62953	62972	63005	63018	63049	63070	63075	63096	63109	63134	63143	63156	63171	63199	63219	63234	63249	63280	63292	63312	63323	63337	63353	63361	63379
https://youtu.be/OEadNTaCROc	COVERS -One	429244	430725	431107	431973	432839	433753	434713	435609	436517	437513	438497	439608	440731	441883	443025	444155	445514	446865	448217	449459	450643	451668	452740	453850	454996	456151	457413	458759	460048	461281	462391	463477	464466	465575	466822	467834	468796	469883	470942	472104	473246	474373	475480	476518	477533	478394	479206	480206	481211	482202	483174	484009	484927	485765	486484	487188	487874	488507	489309	490004	490679	491612	492402	493200	493920	494728	495415	496082	496764	497512	498176	498789	499392	500071	500776	501438	502070	502761	503382	503972	504548	505152	505779	506367	506912	507477	508080	508615	509124	509746	510369	510891	511423	511973	512515	513081	513613	514291	514844	515406	515981	516525	517059	517574	518124	518670	519228	519779	520319	520875	521416	521935	522399	522865	523346	523857	524358	524899
https://youtu.be/YgDxP3kHmJs	COVERS -One	1540759	1543458	1544280	1546221	1547937	1550104	1552233	1554406	1556348	1558252	1560322	1562372	1564873	1567614	1570108	1572830	1575546	1578049	1580715	1583595	1586427	1589009	1591702	1594475	1596982	1599700	1602360	1604962	1607507	1609984	1612652	1615224	1617689	1620150	1622743	1624831	1627063	1629335	1631936	1634609	1637220	1639781	1641930	1644048	1646465	1648892	1651297	1654034	1656726	1659518	1661887	1663806	1665897	1667982	1670038	1672060	1673947	1676051	1678002	1680081	1682118	1684303	1686474	1688334	1690238	1692318	1694255	1696249	1698290	1700315	1702144	1703947	1705668	1707412	1709382	1711182	1712866	1714431	1715820	1717202	1718584	1720037	1721500	1723055	1724436	1725959	1727470	1728962	1730358	1731909	1733427	1734715	1736078	1737413	1738922	1740352	1741795	1743167	1744340	1745496	1746748	1748085	1749378	1750678	1752096	1753497	1754729	1755989	1757280	1758602	1759931	1761246	1762331	1763463	1764663	1765968	1767206	1768630
https://youtu.be/AG5LrQr82h8	小片リサ『Kitty』	121773	121921	121940	122020	122082	122153	122245	122330	122404	122469	122543	122616	122700	122812	122916	123020	123103	123213	123295	123391	123469	123546	123662	123780	123915	124034	124148	124262	124368	124492	124615	124712	124828	124941	125033	125101	125208	125289	125389	125501	125612	125780	125905	126016	126131	126232	126331	126466	126607	126764	126898	127001	127096	127180	127267	127379	127493	127597	127690	127782	127861	127957	128070	128183	128277	128363	128467	128551	128695	128905	129206	129499	129719	129949	130151	130391	130602	130825	131021	131216	131438	131679	131915	132147	132339	132555	132746	132907	133040	133225	133466	133715	133968	134187	134393	134591	134851	135140	135432	135645	135855	136030	136256	136480	136698	136919	137167	137395	137629	137855	138100	138250	138436	138639	138839	139007	139194	139365
https://youtu.be/gqjq2F7vezQ	小片リサ「雨音はショパンの調べ」歌唱動画-	127604	127709	127733	127794	127843	127933	128012	128094	128158	128228	128296	128354	128422	128504	128588	128638	128698	128749	128797	128870	128947	129044	129090	129151	129200	129257	129330	129404	129484	129558	129630	129696	129751	129856	129949	130019	130081	130140	130220	130285	130360	130456	130538	130583	130642	130723	130792	130887	130979	131049	131134	131148	131190	131253	131308	131374	131431	131500	131566	131630	131675	131730	131782	131835	131892	131947	132005	132052	132134	132237	132339	132416	132483	132574	132650	132732	132804	132876	132953	133019	133075	133167	133239	133309	133394	133471	133527	133595	133666	133768	133874	133954	134030	134105	134175	134263	134333	134449	134536	134595	134680	134748	134838	134918	135015	135102	135185	135282	135358	135448	135562	135649	135735	135803	135887	135952	136033	136120
