index	タイトル	2023-08-08	2023-08-09	2023-08-10	2023-08-11	2023-08-12	2023-08-13	2023-08-14	2023-08-15	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20
https://youtu.be/waauSAY4Z68	おどる♡11「幸せきょうりゅう音頭」	3583	6582	8155	9996	11907	13379	14666	15638	16816	17775	18548	19526	20434	21270	22142	22383	22967	23496	23983	24466	24895	25331	25776	26207	26713	27292	27870	28393	28787	29154	29448	29721	29996	30347	30649	30970	31250	31525	31774	32010	32234	32452	32715	32906
https://youtu.be/KHxsVH23qiw	ROMANS「SEXY NIGHT~忘れられない彼~」	5012	8144	9591	10976	12257	13114	13787	14488	15315	16020	16488	17116	17705	18197	18827	18994	19437	19850	20263	20630	20915	21239	21567	21869	22210	22534	22837	23128	23430	23643	23823	24034	24231	24456	24660	24870	25062	25236	25413	25566	25713	25848	25978	26132
https://youtu.be/F1j8dW-rz2A	後浦なつみ「LOVE LIKE CRAZY」	5834	9992	11973	14322	16566	18483	19671	20674	21806	22772	23553	24467	25283	25993	26866	27054	27626	28087	28515	28977	29328	29764	30172	30512	30932	31329	31746	32074	32381	32637	32881	33120	33374	33648	33930	34185	34433	34664	34907	35139	35331	35540	35735	35970
https://youtu.be/Dp0igiFdy34	三人祭「チュッ!夏パ〜ティ」	13353	24799	29857	38241	47699	54531	60815	65860	72439	79736	88295	99686	117243	130304	143254	147703	154861	162447	170445	178564	185241	191381	197350	204268	212779	221407	231365	241196	248162	254380	260409	266521	271597	278267	284210	288921	294114	298325	303044	306938	310746	314190	317495	320962
https://youtu.be/bb0iJMezLj4	モーニング娘。おとめ組「愛の園〜Touch	26650	50591	62877	75338	88440	97146	103868	110707	118565	124914	130447	137535	144719	150783	159680	161731	166474	171055	175468	179869	183734	188313	192636	196376	200687	205609	210355	214649	218847	222639	226477	230351	234248	238079	241628	245180	248696	252035	255338	258702	262065	265190	268226	271037
https://youtu.be/u6IRqmwUu7Y	黄色5「黄色いお空で BOOM BOOM BOOM」	13646	24584	29087	36012	43639	49198	54610	59404	65201	70388	75487	82487	92217	102228	110914	112912	118746	124330	130502	137333	143637	152652	161267	167450	175128	184423	196875	206078	215565	222281	228519	234313	240456	245752	251336	256851	262287	267068	272494	277173	281564	285828	289899	293937
https://youtu.be/n-DxqtI2Z64	おけいさんと安倍なつみモーニング娘。)「母と娘のデュエットソング」	2248	4806	6962	8603	9649	10170	10813	11267	11650	11878	12012	12214	12390	12528	12696	12729	12850	12956	13057	13150	13236	13313	13395	13478	13557	13652	13734	13793	13844	13905	13951	13996	14044	14114	14172	14223	14280	14334	14371	14423	14466	14500	14536	14570
https://youtu.be/3F5293IQSPM	モーニング娘。誕生10年記念隊「愛しき悪友へ」	6512	11502	13731	15206	16361	17046	17543	17938	18518	18981	19308	19680	20017	20264	20578	20652	20867	21060	21240	21391	21518	21651	21790	21884	22034	22190	22333	22483	22583	22685	22769	22854	22961	23053	23157	23246	23345	23435	23496	23565	23629	23697	23765	23814
https://youtu.be/pE_5RjCgdwI	セクシー8「幸せですか?」	4864	9038	11509	15279	19075	21975	24178	26833	29022	30248	31350	32663	34001	35057	36371	36720	37585	38397	39099	39848	40438	41201	41948	42597	43329	44024	44925	45664	46238	46796	47297	47777	48255	48789	49283	49793	50328	50830	51356	51846	52289	52760	53225	53650
https://youtu.be/czuKh5v9W2s	10人祭「ダンシング!夏祭り」	5059	9357	11713	14833	18111	20413	22117	23721	25844	27695	29378	31656	34382	36528	38580	39092	40359	41730	43177	44620	45809	47187	48370	49518	50881	52317	54362	56093	57554	58733	59839	60960	62076	63373	64547	65855	67150	68355	69598	70638	71637	72585	73584	74650
https://youtu.be/91fsC8HLN_o	ハッピー♡7「幸せビーム!好き好きビーム!」	7142	14292	18098	22482	26607	29532	31904	34011	36773	39169	41271	44050	47009	49799	53088	53877	55807	57764	59614	61542	63124	64843	66472	67936	69633	71309	73298	75040	76532	77995	79257	80443	81580	82837	84022	85285	86551	87731	88824	89909	90921	91943	92953	93869
https://youtu.be/NdTuDS-P42k	あぁ!「FIRST KISS」	12929	21779	26172	31079	36225	39832	42479	45273	48392	50838	53609	56371	59108	61803	65107	65870	67850	70069	72165	74113	75576	77363	78918	80312	82025	83694	85290	86697	88007	89338	90660	91897	93243	94556	96793	99517	102096	104606	107306	109939	112350	114595	116681	118505
