index	タイトル	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20	2023-09-21	2023-09-22	2023-09-23	2023-09-24	2023-09-25	2023-09-26	2023-09-27	2023-09-28	2023-09-29	2023-09-30	2023-10-01	2023-10-02	2023-10-03	2023-10-04	2023-10-05	2023-10-06	2023-10-07	2023-10-08	2023-10-09	2023-10-10	2023-10-11	2023-10-12	2023-10-13	2023-10-14	2023-10-15	2023-10-16	2023-10-17	2023-10-18	2023-10-19	2023-10-20	2023-10-21	2023-10-22	2023-10-23	2023-10-24	2023-10-25	2023-10-26	2023-10-27	2023-10-28	2023-10-29	2023-10-30	2023-10-31	2023-11-01	2023-11-02	2023-11-03	2023-11-04	2023-11-05	2023-11-06	2023-11-07	2023-11-08	2023-11-09	2023-11-10	2023-11-11	2023-11-12	2023-11-13	2023-11-14	2023-11-15	2023-11-16	2023-11-17
https://youtu.be/u4gTyIOcJNc	中澤裕子「二人暮し」	888	1426	1673	1917	2093	2240	2417	2464	2584	2726	2828	2945	3020	3103	3184	3251	3316	3375	3459	3506	3552	3607	3658	3702	3752	3802	3884	3967	4023	4082	4132	4176	4251	4310	4396	4467	4534	4611	4658	4715	4745	4765	4789	4811	4852	4895	4941	4973	5002	5035	5064	5094	5119	5145	5168	5204	5229	5265	5298	5319	5343	5372	5401	5424	5443	5471	5496	5524	5539	5565	5588	5605	5629	5641	5656	5671	5687	5705	5725	5743	5768	5784	5800	5813	5830	5848	5866	5890	5912	5929	5944	5961	5977	6000
https://youtu.be/dyX4zZMgZcU	中澤ゆうこ「悔し涙 ぽろり」	3741	6099	7360	8737	10067	11152	12119	12313	12883	13415	13808	14161	14439	14762	15061	15306	15718	16074	16406	16667	16880	17065	17244	17409	17583	17782	18651	20166	21212	21907	22456	22906	23301	23646	23973	24305	24599	24937	25208	25513	25761	25975	26178	26390	26588	26814	26999	27164	27351	27532	27731	27979	28276	28506	28740	28950	29126	29295	29485	29652	29840	30022	30184	30308	30467	30643	30796	30969	31088	31223	31351	31475	31589	31712	31851	31992	32123	32229	32344	32466	32593	32704	32793	32898	32972	33122	33268	33394	33519	33649	33752	33825	33929	34035
https://youtu.be/acC5jgRk6Zs	中澤ゆうこ「上海の風」	1659	2914	3765	4928	5918	6567	6949	7016	7239	7458	7619	7771	7890	8028	8144	8238	8357	8467	8573	8674	8744	8836	8916	8968	9052	9124	9275	9425	9546	9632	9695	9763	9835	9877	9939	9989	10049	10127	10171	10239	10290	10334	10371	10406	10465	10513	10547	10584	10627	10659	10690	10728	10760	10785	10819	10855	10906	10932	10958	11003	11040	11075	11095	11118	11153	11180	11207	11242	11276	11316	11357	11387	11425	11465	11497	11527	11555	11583	11607	11627	11653	11690	11715	11748	11769	11798	11816	11841	11861	11880	11897	11920	11953	11975
https://youtu.be/LBrZ7CSFgpo	中澤裕子「GET ALONG WITH YOU」	740	1115	1299	1504	1642	1782	1964	2001	2107	2190	2263	2331	2398	2455	2515	2570	2631	2694	2762	2815	2851	2898	2935	2966	3010	3041	3112	3164	3204	3245	3281	3320	3348	3381	3414	3442	3458	3481	3505	3533	3553	3575	3590	3599	3617	3648	3666	3686	3705	3712	3724	3735	3750	3765	3779	3801	3820	3835	3850	3866	3877	3891	3906	3913	3922	3933	3942	3956	3967	3974	3988	3996	4007	4011	4018	4025	4039	4060	4074	4080	4092	4103	4116	4128	4140	4147	4158	4169	4183	4195	4200	4208	4213	4219
https://youtu.be/Y2rT2_PE70c	中澤裕子「東京美人」	1189	1786	2111	2500	2752	3004	3307	3409	3621	3796	3945	4061	4182	4306	4408	4506	4616	4721	4823	4913	4978	5048	5113	5163	5216	5288	5396	5495	5590	5688	5765	5832	5894	5948	6016	6071	6126	6176	6215	6254	6291	6318	6349	6384	6426	6462	6493	6538	6575	6608	6647	6684	6716	6745	6778	6815	6853	6883	6913	6948	6982	7009	7033	7057	7088	7127	7171	7208	7238	7256	7280	7313	7336	7355	7378	7411	7430	7454	7480	7504	7537	7572	7591	7617	7635	7661	7681	7718	7746	7772	7788	7803	7823	7851
https://youtu.be/HRHTI9Zu96o	中澤ゆうこ&高山厳「お台場ムーンライトセレナーデ」	750	1142	1336	1544	1735	1924	2122	2153	2275	2373	2456	2526	2571	2641	2724	2785	2872	2948	3032	3090	3131	3190	3230	3286	3343	3377	3426	3493	3556	3612	3658	3715	3753	3788	3831	3869	3920	3958	3987	4023	4052	4088	4131	4155	4181	4214	4238	4270	4304	4340	4369	4407	4436	4460	4496	4523	4563	4595	4616	4640	4672	4709	4746	4777	4814	4850	4882	4911	4931	4952	4974	5004	5036	5061	5074	5091	5114	5153	5172	5191	5219	5246	5273	5295	5331	5381	5411	5446	5493	5530	5560	5589	5615	5650
https://youtu.be/pYyATHeAyHs	中澤裕子「うらら」	596	949	1136	1307	1434	1533	1653	1672	1730	1803	1868	1915	1957	2003	2036	2075	2116	2172	2223	2253	2279	2317	2343	2370	2408	2433	2493	2534	2559	2583	2642	2684	2713	2736	2759	2782	2798	2829	2844	2865	2888	2901	2919	2930	2954	2974	2984	3001	3009	3023	3042	3050	3065	3079	3086	3104	3112	3122	3128	3140	3145	3154	3158	3162	3171	3178	3187	3197	3205	3212	3219	3234	3240	3247	3253	3258	3270	3281	3286	3295	3301	3311	3317	3328	3333	3336	3343	3351	3363	3372	3381	3390	3396	3408
https://youtu.be/ntwFGHRAmYM	中澤ゆうこ「純情行進曲」	853	1235	1448	1684	1878	2024	2207	2255	2411	2523	2607	2677	2733	2812	2873	2938	2998	3047	3091	3143	3186	3228	3265	3302	3334	3372	3450	3510	3553	3595	3644	3677	3707	3730	3758	3778	3807	3848	3879	3908	3933	3963	3989	4009	4033	4055	4085	4104	4124	4152	4165	4184	4212	4237	4268	4294	4316	4335	4358	4387	4410	4436	4457	4487	4513	4540	4561	4579	4591	4613	4636	4664	4685	4711	4736	4763	4790	4804	4827	4865	4889	4910	4922	4945	4971	4991	5012	5033	5064	5083	5092	5109	5138	5163
https://youtu.be/yq56-g1wRhI	中澤裕子「DO	765	1168	1377	1595	1739	1878	2052	2080	2187	2288	2356	2432	2490	2548	2602	2655	2708	2777	2844	2907	2956	3014	3059	3096	3148	3184	3247	3298	3343	3385	3423	3443	3470	3505	3545	3576	3603	3643	3687	3724	3777	3819	3845	3871	3898	3929	3962	3989	4009	4022	4045	4064	4084	4098	4119	4145	4167	4185	4195	4219	4234	4254	4267	4272	4288	4296	4310	4336	4355	4368	4382	4401	4408	4428	4441	4465	4484	4499	4515	4527	4546	4562	4573	4591	4594	4605	4615	4635	4653	4667	4677	4691	4708	4718
https://youtu.be/tIYWgbNlt6M	中澤ゆうこ「カラスの女房」	3812	6665	7929	9044	10062	10957	11716	11862	12243	12490	12688	12898	13068	13318	13482	13632	13834	14036	14228	14361	14516	14653	14767	14877	15031	15163	15363	15545	15714	15877	16028	16147	16300	16445	16618	16766	16881	17069	17207	17384	17512	17627	17759	17887	18025	18173	18299	18424	18574	18702	18820	18914	19028	19161	19300	19436	19583	19732	19856	19980	20099	20195	20338	20463	20626	20743	20899	21071	21225	21376	21515	21652	21781	21895	22034	22156	22317	22426	22547	22679	22832	22982	23090	23213	23362	23551	23818	24120	24301	24482	24642	24794	25043	25242
