index	タイトル	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20	2023-09-21	2023-09-22	2023-09-23	2023-09-24	2023-09-25	2023-09-26	2023-09-27	2023-09-28	2023-09-29	2023-09-30	2023-10-01	2023-10-02	2023-10-03	2023-10-04	2023-10-05	2023-10-06	2023-10-07	2023-10-08	2023-10-09	2023-10-10	2023-10-11
https://youtu.be/fshGnzoDeww	後藤真希「スクランブル」	4469	7130	8575	10193	11406	12408	13662	13958	14600	15150	15676	16136	16509	16874	17298	17665	18107	18481	18850	19155	19419	19681	19904	20117	20378	20606	20860	21118	21373	21638	21856	22062	22260	22441	22664	22845	23010	23248	23467	23692	23933	24141	24327	24521	24698	24882	25061	25215	25358	25495	25646	25785	25919	26039	26169	26283	26399
https://youtu.be/NOgLIEmwdXE	後藤真希「原色GAL 派手に行くべ!」	6258	10462	12801	14820	16308	17548	19481	20002	21064	21856	22499	23054	23488	24024	24484	24897	25620	26244	26893	27369	27761	28151	28501	28818	29149	29490	29834	30158	30477	30805	31080	31333	31597	31837	32067	32349	32628	32849	33038	33271	33494	33694	33925	34111	34323	34513	34753	34931	35132	35346	35528	35658	35807	35981	36132	36282	36428
https://youtu.be/3IaxZ9IzPEs	後藤真希「シークレット」	2934	4591	5474	6345	6865	7244	7663	7767	7948	8153	8324	8471	8596	8739	8896	9014	9177	9318	9453	9565	9680	9781	9875	9947	10030	10127	10230	10308	10390	10451	10528	10584	10643	10692	10749	10808	10867	10919	10969	11031	11071	11115	11158	11208	11246	11289	11339	11421	11471	11526	11567	11606	11647	11695	11738	11777	11818
https://youtu.be/cYE4vdRvMmA	後藤真希「手を握って歩きたい」	5663	9350	11190	12745	14162	15278	16561	16859	17626	18305	18828	19388	19873	20402	20907	21302	21862	22335	22867	23321	23692	24043	24369	24677	24981	25319	25610	25917	26252	26544	26837	27092	27349	27583	27801	28055	28286	28540	28749	29041	29266	29459	29674	29882	30125	30328	30578	30792	30978	31182	31396	31580	31761	31949	32145	32317	32481
https://youtu.be/4f8a6TbnrL8	後藤真希「SOME BOYS! TOUCH」	6408	9664	11053	12414	13515	14322	15316	15549	16088	16634	17139	17574	17925	18326	18735	19113	19545	19928	20364	20734	21066	21421	21776	22074	22396	22727	23120	23450	23758	24041	24327	24599	24848	25037	25280	25482	25727	25952	26161	26433	26656	26842	27031	27222	27443	27599	27792	27984	28144	28312	28532	28750	28951	29105	29283	29467	29605
https://youtu.be/HaTcLcy52yQ	後藤真希「抱いてよ!	9273	15743	19306	22256	24900	26974	29732	30254	31673	33062	34142	35210	36184	37062	37961	38729	39770	40801	41903	42835	43588	44430	45117	45753	46405	47250	48445	49600	50647	51890	52910	53838	54688	55329	55974	56708	57468	58304	59166	60182	61014	61866	62682	63361	64058	64711	65358	65960	66521	67010	67565	68155	68761	69345	69869	70337	70796
https://youtu.be/Wlp9xZyHKtc	後藤真希「サン・トワ・マミー」」	1334	2109	2610	3249	3570	3824	4130	4204	4414	4565	4673	4793	4883	4981	5079	5175	5292	5411	5500	5567	5645	5733	5803	5861	5922	5987	6068	6141	6207	6269	6339	6404	6453	6517	6586	6665	6733	6811	6870	6950	6996	7038	7108	7143	7202	7247	7294	7350	7383	7433	7494	7533	7572	7614	7653	7692	7728
https://youtu.be/Kj2jnwYFMM8	後藤真希『さよなら「友達にはなりたくないの」』	2354	3829	4711	5524	6319	6780	7347	7504	7825	8127	8389	8596	8793	8986	9216	9420	9667	9889	10085	10294	10489	10641	10782	10921	11042	11188	11327	11444	11562	11684	11829	11966	12093	12182	12289	12381	12480	12573	12669	12769	12850	12913	13003	13090	13166	13237	13310	13381	13457	13524	13601	13674	13736	13813	13908	13987	14060
https://youtu.be/pQLhzkjcJ4w	後藤真希「やる気!IT'S EASY」	7316	11959	14404	16969	19303	21068	23582	24135	25587	26832	27885	28865	29819	30874	31877	32793	33832	34936	35896	36774	37574	38331	39055	39729	40423	41135	41881	42712	43426	44090	44773	45399	46087	46625	47226	47784	48351	48948	49463	50031	50508	51016	51533	52011	52487	52953	53451	53969	54524	55014	55463	55888	56337	56755	57250	57647	58007
https://youtu.be/JzH1ild4XAk	後藤真希「君といつまでも」	1104	1826	2203	2623	3181	3588	3982	4057	4244	4411	4529	4632	4726	4824	4943	5016	5133	5225	5314	5388	5502	5536	5595	5649	5689	5749	5820	5888	5949	5994	6045	6088	6129	6164	6214	6252	6280	6316	6347	6394	6421	6448	6484	6510	6546	6574	6600	6626	6650	6672	6699	6732	6758	6786	6816	6848	6866
