index	タイトル	2023-08-11	2023-08-12	2023-08-13	2023-08-14	2023-08-15	2023-08-16	2023-08-17	2023-08-18	2023-08-19	2023-08-20	2023-08-21	2023-08-22	2023-08-23	2023-08-24	2023-08-25	2023-08-26	2023-08-27	2023-08-28	2023-08-29	2023-08-30	2023-08-31	2023-09-01	2023-09-02	2023-09-03	2023-09-04	2023-09-05	2023-09-06	2023-09-07	2023-09-08	2023-09-09	2023-09-10	2023-09-11	2023-09-12	2023-09-13	2023-09-14	2023-09-15	2023-09-16	2023-09-17	2023-09-18	2023-09-19	2023-09-20	2023-09-21	2023-09-22	2023-09-23	2023-09-24	2023-09-25	2023-09-26	2023-09-27	2023-09-28	2023-09-29	2023-09-30	2023-10-01	2023-10-02	2023-10-03	2023-10-04	2023-10-05	2023-10-06	2023-10-07	2023-10-08	2023-10-09	2023-10-10	2023-10-11	2023-10-12	2023-10-13
https://youtu.be/BxEf3vGTeWQ	松浦亜弥「Yeah!めっちゃホリディ」	19694	35578	44256	51402	59596	70352	80757	90815	101877	112062	119816	129996	132477	138544	145440	152560	160048	166618	172827	179325	185611	193296	200738	209672	218153	225378	232834	240732	248995	257615	267596	275870	283499	291088	299318	307840	319083	328474	337074	344211	350965	357717	364122	370531	377073	382479	387242	392098	397019	402261	407988	414428	419652	424387	429443	434266	439291	444536	450023	455391	460058	464094	468755	473303
https://youtu.be/ATCo8nlbZU0	"松浦亜弥 『ふたり大阪』  ""10TH ANNIVERSARY BEST"" SPECIAL LIVE"	69719	69787	69818	69833	69846	69864	69878	69894	69912	69929	69939	69959	69966	69985	69995	70001	70003	70007	70018	70027	70037	70046	70063	70082	70095	70105	70112	70116	70123	70132	70141	70149	70164	70178	70182	70189	70192	70199	70205	70211	70220	70224	70229	70243	70251	70257	70261	70270	70278	70284	70291	70295	70296	70298	70300	70305	70313	70323	70326	70331	70335	70338	70342	70347
https://youtu.be/Ly8Jr87GjUo	松浦亜弥 『横浜ロンド』	361980	362097	362170	362221	362272	362327	362376	362435	362489	362553	362612	362705	362716	362762	362797	362846	362881	362908	362938	362973	363010	363085	363174	363244	363297	363323	363356	363405	363449	363479	363535	363576	363609	363657	363698	363732	363772	363812	363855	363901	363934	363981	364046	364087	364132	364184	364221	364271	364318	364358	364399	364443	364464	364490	364535	364578	364612	364643	364682	364725	364757	364792	364814	364847
https://youtu.be/y2XoW9rl1JI	松浦亜弥 『The Difference』	84910	84995	85025	85035	85050	85078	85103	85127	85149	85170	85187	85208	85212	85228	85242	85252	85263	85274	85282	85295	85308	85322	85340	85355	85370	85379	85389	85402	85414	85426	85439	85451	85462	85476	85486	85496	85500	85510	85515	85524	85527	85537	85550	85566	85574	85577	85580	85584	85589	85594	85597	85607	85611	85613	85621	85630	85640	85648	85652	85659	85660	85668	85673	85677
https://youtu.be/A7tBH2j_j_w	松浦亜弥「100回のKISS」	8108	18443	20792	23106	25642	28412	30571	32399	34335	36286	37969	40232	40849	42207	43594	44806	46011	47028	48142	49354	50447	51887	53361	54706	55823	56883	58001	59139	60293	61387	62586	63619	64757	65879	67043	68351	69479	70564	71482	72451	73474	74593	75729	76766	77616	78359	79191	80014	80841	81701	82596	83451	84326	85106	85941	86819	87581	88367	89076	89816	90519	91264	92068	92852
https://youtu.be/KcW_0-quK0Y	松浦亜弥 『only	198622	198688	198720	198728	198746	198769	198788	198809	198835	198850	198871	198891	198895	198918	198931	198942	198953	198960	198971	198982	198992	199009	199019	199038	199051	199064	199073	199082	199091	199105	199120	199133	199145	199157	199168	199187	199194	199203	199214	199226	199231	199244	199256	199268	199273	199293	199297	199302	199309	199314	199325	199335	199336	199343	199345	199354	199365	199374	199376	199382	199385	199389	199392	199396
https://youtu.be/z-ApZFvjVbE	松浦亜弥「ドッキドキ!LOVEメール」	18125	29011	34312	38288	42800	48865	53791	57867	62841	67412	71425	77231	78590	82014	85430	88910	92185	94828	97652	100560	103609	107346	110942	114592	117573	120722	123648	126622	129522	132518	135724	138496	141340	144351	147229	150144	153241	156128	158866	161352	163958	166752	169315	171805	174213	176158	178178	180207	182473	184846	187166	189518	191574	193554	195614	197704	199895	201955	203897	205788	207466	209137	210892	212533
https://youtu.be/iM5MUvyQJGg	松浦亜弥「気がつけば あなた」	7508	19558	24057	26756	28794	30933	32351	33395	35015	36278	37236	38318	38539	39333	40050	40727	41235	41729	42265	42769	43317	44046	44645	45240	45760	46255	46739	47153	47590	48046	48549	48993	49506	49966	50385	50789	51219	51632	52012	52369	52705	53142	53525	53879	54208	54503	54796	55118	55418	55693	55972	56281	56528	56762	57014	57259	57547	57823	58122	58439	58647	58843	59107	59320
https://youtu.be/z58_bAhiWcc	松浦亜弥「GOOD BYE 夏男」	16660	30630	38905	45755	53522	62509	69647	75739	82102	89295	95734	103551	105328	109872	114543	119067	123140	126402	129789	133003	136071	139919	143596	147496	150614	153565	156717	159674	162379	165171	167824	170058	172432	174885	177211	179550	181966	184316	186503	188578	190677	192817	194721	196697	198621	200312	201844	203577	205218	206987	208655	210338	211961	213540	215187	216657	218081	219584	221017	222548	223809	225226	226520	227615
https://youtu.be/COoY4qWqL-k	松浦亜弥「笑顔」	2446	4181	5631	6281	6833	7484	7983	8362	8743	9135	9445	9805	9893	10154	10406	10582	10787	10951	11149	11339	11526	11745	11942	12149	12329	12506	12667	12863	13036	13196	13371	13537	13702	13876	14036	14199	14356	14481	14616	14770	14884	15006	15123	15231	15339	15458	15560	15655	15766	15860	15955	16061	16154	16232	16314	16430	16530	16612	16708	16816	16896	16960	17032	17114
